05:08:42;14.92;67.7;1014.36;385
05:08:45;18.17;62.5;1015.76;414
05:08:49;16.46;66.9;1015.00;400
05:08:52;16.46;66.9;1015.00;400
05:08:56;16.46;66.9;1015.00;400
05:08:59;16.47;66.9;1015.00;400
05:09:03;16.23;66.1;1016.33;355
05:09:07;16.19;68.5;1015.90;439
05:09:10;16.47;66.9;1015.00;400
05:09:14;16.47;66.9;1015.00;400
05:09:17;16.47;66.9;1015.00;400
05:09:21;16.47;66.9;1015.00;400
05:09:25;16.47;66.9;1015.00;400
05:09:28;16.48;66.9;1015.00;400
05:09:32;16.48;66.9;1015.00;400
05:09:36;16.48;66.9;1015.00;400
05:09:39;16.48;66.9;1015.00;400
05:09:43;16.48;66.9;1015.00;400
05:09:46;16.48;66.9;1015.00;400
05:09:50;16.48;66.9;1015.00;400
05:09:54;16.49;66.9;1015.00;400
05:09:57;16.49;66.9;1015.00;400
05:10:01;16.49;66.9;1015.00;400
05:10:04;16.49;66.9;1015.00;400
05:10:08;15.77;70.2;1013.03;432
05:10:12;16.49;66.9;1015.00;400
05:10:15;16.49;66.9;1015.00;400
05:10:19;16.95;70.8;1016.27;354
05:10:22;16.50;66.8;1015.00;400
05:10:26;16.50;66.8;1015.00;400
05:10:30;16.50;66.8;1015.00;400
05:10:33;16.50;66.8;1015.00;400
05:10:37;16.50;66.8;1015.00;400
05:10:40;16.50;66.8;1015.00;400
05:10:44;16.50;66.8;1015.00;400
05:10:48;16.51;66.8;1015.00;400
05:10:51;16.51;66.8;1015.00;400
05:10:55;16.51;66.8;1015.00;400
05:10:58;16.51;66.8;1015.00;400
05:11:02;16.51;66.8;1015.00;400
05:11:06;17.86;64.6;1014.27;410
05:11:09;16.51;66.8;1015.00;400
05:11:13;16.52;66.8;1015.00;400
05:11:16;16.52;66.8;1015.00;400
05:11:20;16.52;66.8;1015.00;400
05:11:23;16.52;66.8;1015.00;400
05:11:27;16.52;66.8;1015.00;400
05:11:31;16.52;66.8;1015.00;400
05:11:34;18.21;67.2;1014.79;406
05:11:38;16.52;66.8;1015.00;400
05:11:42;16.53;66.8;1015.00;400
05:11:45;16.53;66.8;1015.00;400
05:11:49;16.53;66.8;1015.00;400
05:11:52;16.53;66.8;1015.00;400
